question_text;option_a;option_b;option_c;option_d;correct_answer;explanation;language;exam_category
Quelle est la devise de la République française ?;Travail Famille Patrie;Liberté Égalité Fraternité;Paix Justice Travail;Ordre et Progrès;option_b;La devise inscrite sur les frontons des mairies est Liberté, Égalité, Fraternité.;fr;Principles and values of the Republic
Quel est l'hymne national de la France ?;Le Chant des Partisans;La Marseillaise;La Madelon;L'Ode à la joie;option_b;La Marseillaise a été écrite par Rouget de Lisle en 1792.;fr;Principles and values of the Republic
Que célèbre-t-on le 14 juillet ?;La fin de la Seconde Guerre mondiale;L'Armistice;La prise de la Bastille;La naissance de Napoléon;option_c;Le 14 juillet célèbre la prise de la Bastille (1789) et la Fête de la Fédération (1790).;fr;History, geography and culture
Quelles sont les couleurs du drapeau français ?;Bleu Blanc Rouge;Rouge Blanc Bleu;Blanc Bleu Rouge;Bleu Rouge Blanc;option_a;Le drapeau tricolore bleu, blanc, rouge est l'emblème national de la France.;fr;Principles and values of the Republic
Quel personnage féminin symbolise la République française ?;Jeanne d'Arc;Marie-Antoinette;Marianne;Joséphine de Beauharnais;option_c;Marianne est l'allégorie de la République, coiffée d'un bonnet phrygien.;fr;Principles and values of the Republic
Quel animal est souvent utilisé pour représenter la France ?;L'aigle;Le lion;Le coq;L'ours;option_c;Le coq gaulois est un symbole traditionnel et sportif de la France.;fr;Principles and values of the Republic
En quelle année a eu lieu la Révolution française ?;1789;1889;1905;1958;option_a;La Révolution française a débuté en 1789 avec la prise de la Bastille.;fr;History, geography and culture
Qui est l'actuel Président de la République française ? (en 2024);François Hollande;Emmanuel Macron;Nicolas Sarkozy;Jacques Chirac;option_b;Emmanuel Macron a été réélu Président en 2022.;fr;Institutional and political system
Quelle est la durée du mandat du Président de la République ?;4 ans;5 ans;7 ans;À vie;option_b;Le mandat présidentiel (quinquennat) dure 5 ans.;fr;Institutional and political system
Comment le Président de la République est-il élu ?;Par les députés;Par le Sénat;Au suffrage universel direct;Par les maires;option_c;Il est élu directement par les citoyens français.;fr;Institutional and political system
Où siège le Président de la République ?;Au Palais du Louvre;Au Palais du Luxembourg;Au Palais de l'Élysée;Au Palais Bourbon;option_c;Le Palais de l'Élysée est la résidence officielle du Président.;fr;Institutional and political system
Qui nomme le Premier ministre ?;Le peuple;Le Parlement;Le Président de la République;Le Conseil constitutionnel;option_c;Le Président nomme le Premier ministre, qui dirige ensuite le Gouvernement.;fr;Institutional and political system
Où siège l'Assemblée nationale ?;Au Palais du Luxembourg;Au Palais de l'Élysée;Au Palais Bourbon;À l'Hôtel de Ville;option_c;L'Assemblée nationale, qui forme le Parlement avec le Sénat, siège au Palais Bourbon.;fr;Institutional and political system
Où siège le Sénat ?;Au Palais du Luxembourg;Au Palais Bourbon;Au Panthéon;Aux Invalides;option_a;Le Sénat est la chambre haute du Parlement français.;fr;Institutional and political system
En quelle année a été adoptée la loi de séparation des Églises et de l'État ?;1789;1848;1905;1945;option_c;La loi de 1905 est le fondement de la laïcité en France.;fr;History, geography and culture
Qu'est-ce que la laïcité en France ?;L'interdiction des religions;Une religion d'État;La neutralité de l'État en matière religieuse;L'obligation d'avoir une religion;option_c;La laïcité garantit la liberté de conscience et sépare l'État des religions.;fr;Principles and values of the Republic
En quelle année les femmes ont-elles obtenu le droit de vote en France ?;1789;1905;1944;1968;option_c;Le droit de vote a été accordé aux femmes en 1944 par le général de Gaulle.;fr;History, geography and culture
En quelle année l'esclavage a-t-il été définitivement aboli en France ?;1789;1848;1905;1944;option_b;L'abolition définitive a été promulguée en 1848 sous la IIe République (Victor Schoelcher).;fr;History, geography and culture
Sous quelle République vivons-nous actuellement ?;La IIIe République;La IVe République;La Ve République;La VIe République;option_c;La Ve République a été fondée en 1958 par Charles de Gaulle.;fr;Institutional and political system
Quel roi de France était surnommé le Roi-Soleil ?;Henri IV;Louis XIV;Louis XVI;François Ier;option_b;Louis XIV, célèbre pour la construction du château de Versailles, est le Roi-Soleil.;fr;History, geography and culture
Qui a mené la Résistance française depuis Londres pendant la Seconde Guerre mondiale ?;Jean Moulin;Le maréchal Pétain;Le général de Gaulle;Winston Churchill;option_c;Charles de Gaulle a lancé l'Appel du 18 juin 1940.;fr;History, geography and culture
Qui a unifié la Résistance intérieure en France ?;Charles de Gaulle;Jean Moulin;Léon Blum;Victor Hugo;option_b;Jean Moulin a fondé le Conseil national de la Résistance.;fr;History, geography and culture
Quelles sont les dates de la Première Guerre mondiale ?;1870-1871;1914-1918;1939-1945;1954-1962;option_b;La Grande Guerre a opposé la France et ses alliés aux empires centraux.;fr;History, geography and culture
Quelles sont les dates de la Seconde Guerre mondiale ?;1914-1918;1936-1939;1939-1945;1945-1950;option_c;Le conflit mondial s'est achevé par la victoire des Alliés en 1945.;fr;History, geography and culture
Quel général français a pris le pouvoir en 1799 et est devenu Empereur ?;Charlemagne;Louis-Napoléon Bonaparte;Napoléon Bonaparte;Charles de Gaulle;option_c;Napoléon Ier a dominé l'Europe au début du XIXe siècle.;fr;History, geography and culture
Quel âge est la majorité légale en France ?;16 ans;18 ans;21 ans;25 ans;option_b;La majorité civile et politique est fixée à 18 ans depuis 1974.;fr;Rights and duties
L'école est obligatoire en France. De quel âge à quel âge ?;De 3 à 16 ans;De 6 à 16 ans;De 6 à 18 ans;De 3 à 18 ans;option_a;L'instruction est obligatoire dès l'âge de 3 ans et jusqu'à 16 ans.;fr;Living in French society
L'école publique en France est :;Payante et religieuse;Gratuite laïque et obligatoire;Réservée aux garçons;Optionnelle;option_b;L'école publique repose sur la gratuité, la laïcité et l'obligation d'instruction.;fr;Living in French society
Quel monument parisien abrite les tombes des grandes personnalités françaises ?;La Tour Eiffel;L'Arc de Triomphe;Le Panthéon;Le Louvre;option_c;Sur son fronton est inscrit : Aux grands hommes la patrie reconnaissante.;fr;History, geography and culture
Lequel de ces fleuves ne coule PAS en France ?;La Seine;Le Rhône;La Tamise;La Loire;option_c;La Tamise coule en Angleterre.;fr;History, geography and culture
Quel est le plus long fleuve de France ?;La Garonne;La Seine;Le Rhône;La Loire;option_d;La Loire mesure plus de 1000 km.;fr;History, geography and culture
Laquelle de ces chaînes de montagnes fait la frontière entre la France et l'Espagne ?;Les Alpes;Les Vosges;Les Pyrénées;Le Massif Central;option_c;Les Pyrénées séparent la péninsule ibérique de la France.;fr;History, geography and culture
Laquelle de ces chaînes de montagnes fait la frontière entre la France et l'Italie ?;Les Alpes;Le Jura;Les Pyrénées;Les Vosges;option_a;Les Alpes abritent le Mont Blanc, plus haut sommet d'Europe occidentale.;fr;History, geography and culture
Combien y a-t-il de départements en France (environ) ?;50;101;150;200;option_b;Il y a 96 départements métropolitains et 5 départements d'outre-mer.;fr;History, geography and culture
Lequel de ces territoires est un DROM (Département ou Région d'Outre-Mer) français ?;Tahiti;La Nouvelle-Calédonie;La Guadeloupe;Madagascar;option_c;La Guadeloupe, la Martinique, la Guyane, La Réunion et Mayotte sont des DROM.;fr;History, geography and culture
Dans quel pays se trouve le siège du Parlement européen ?;Allemagne;Belgique;France;Italie;option_c;Le Parlement européen siège officiellement à Strasbourg, en France.;fr;Institutional and political system
Quel traité a officiellement créé l'Union européenne en 1992 ?;Le traité de Rome;Le traité de Maastricht;Le traité de Versailles;Le traité de Paris;option_b;Le traité de Maastricht a institué l'Union européenne et jeté les bases de l'euro.;fr;Institutional and political system
Combien de pays composent l'Union européenne aujourd'hui ? (en 2024);15;27;30;28;option_b;Depuis le Brexit, l'UE compte 27 États membres.;fr;Institutional and political system
Quelle est la monnaie de la France ?;Le Franc;La Livre;L'Euro;Le Dollar;option_c;La France a adopté l'Euro comme monnaie commune avec d'autres pays de l'UE.;fr;Institutional and political system
Qui a écrit Les Misérables ?;Molière;Victor Hugo;Émile Zola;Voltaire;option_b;Victor Hugo est l'un des plus grands écrivains et poètes français du XIXe siècle.;fr;History, geography and culture
Lequel de ces dramaturges est célèbre pour ses comédies au XVIIe siècle ?;Baudelaire;Molière;Albert Camus;Marcel Proust;option_b;Molière est l'auteur de pièces comme Le Tartuffe ou L'Avare.;fr;History, geography and culture
Quel bâtiment officiel se trouve dans chaque commune de France ?;Une cathédrale;Une préfecture;Une mairie;Un tribunal;option_c;La mairie (ou Hôtel de ville) est le siège de l'administration locale.;fr;Institutional and political system
Où doit être obligatoirement célébré un mariage pour être valide en France ?;À l'église;À la mairie;Chez le notaire;Au tribunal;option_b;Seul le mariage civil (à la mairie) a une valeur légale en France.;fr;Living in French society
Quel est le principal impôt qui finance la protection sociale (maladie retraite) en France ?;La TVA;Les cotisations sociales (CSG/CRDS);L'impôt sur la fortune;La taxe d'habitation;option_b;La solidarité nationale est financée par les cotisations et contributions sociales.;fr;Rights and duties
Quel est le devoir d'un citoyen français en matière de défense ?;Faire 1 an d'armée;Participer à la JDC (Journée Défense et Citoyenneté);Acheter une arme;Il n'y a aucun devoir;option_b;La JDC est obligatoire pour les jeunes entre 16 et 25 ans.;fr;Rights and duties
La République française est une et :;Indivisible;Multiple;Régionale;Séparée;option_a;L'Article 1 de la Constitution stipule : La France est une République indivisible, laïque, démocratique et sociale.;fr;Principles and values of the Republic
Qui vote les lois en France ?;Le Président;Le Premier ministre;Le Parlement (Assemblée nationale et Sénat);Le Conseil constitutionnel;option_c;Le pouvoir législatif appartient au Parlement.;fr;Institutional and political system
Qu'est-ce que la Déclaration des Droits de l'Homme et du Citoyen ?;Un traité de paix;Un texte fondamental de 1789 qui énonce les droits naturels de l'homme;Une loi européenne;Le code de la route;option_b;Elle a été adoptée au début de la Révolution française en 1789.;fr;History, geography and culture
Lequel de ces droits N'EST PAS garanti en France ?;La liberté d'expression;La liberté de culte;Le droit de ne pas payer d'impôts;Le droit de grève;option_c;Payer l'impôt est un devoir citoyen pour financer les services publics.;fr;Rights and duties
Comment s'appelle l'hymne de l'Union européenne ?;La Marseillaise;L'Ode à la joie;God Save the King;Le Chant des partisans;option_b;L'Ode à la joie est issue de la 9e symphonie de Beethoven.;fr;Institutional and political system
Quel roi des Francs s'est converti au christianisme et a été baptisé vers 496 ?;Charlemagne;Clovis;Henri IV;Louis XIV;option_b;Le baptême de Clovis est considéré comme un moment fondateur de l'histoire de France.;fr;History, geography and culture
Qui a été couronné empereur d'Occident par le pape en l'an 800 ?;Napoléon;Jules César;Charlemagne;Louis XVI;option_c;Charlemagne a fondé un immense empire en Europe avec Aix-la-Chapelle pour capitale.;fr;History, geography and culture
Quelle héroïne a aidé le roi Charles VII à chasser les Anglais pendant la guerre de Cent Ans ?;Jeanne d'Arc;Catherine de Médicis;Aliénor d'Aquitaine;Olympe de Gouges;option_a;Jeanne d'Arc a libéré Orléans en 1429 avant d'être brûlée vive à Rouen en 1431.;fr;History, geography and culture
Quel roi a mis fin aux guerres de religion en signant l'édit de Nantes en 1598 ?;Louis XIII;François Ier;Henri IV;Philippe le Bel;option_c;L'édit de Nantes accordait la liberté de culte aux protestants.;fr;History, geography and culture
Qui a rédigé la Déclaration des droits de la femme et de la citoyenne en 1791 ?;Simone de Beauvoir;George Sand;Olympe de Gouges;Marie Curie;option_c;Olympe de Gouges fut l'une des premières féministes françaises et a été guillotinée pendant la Révolution.;fr;History, geography and culture
Sous quelle République les lois rendant l'école laïque gratuite et obligatoire ont-elles été votées ?;La Ière République;La IIe République;La IIIe République;La Ve République;option_c;Ces lois ont été portées par Jules Ferry en 1881 et 1882 sous la IIIe République.;fr;History, geography and culture
En quelle année la peine de mort a-t-elle été abolie en France ?;1945;1968;1981;2000;option_c;Elle a été abolie en 1981 sous la présidence de François Mitterrand sur une loi portée par Robert Badinter.;fr;Institutional and political system
Quelle ministre de la Santé a fait voter la loi légalisant l'IVG (avortement) en 1975 ?;Simone Veil;Édith Cresson;Christiane Taubira;Ségolène Royal;option_a;Simone Veil a défendu ce droit fondamental pour les femmes malgré une forte opposition.;fr;History, geography and culture
Quel célèbre scientifique français a mis au point le vaccin contre la rage en 1885 ?;Pierre Curie;Louis Pasteur;René Descartes;Blaise Pascal;option_b;Louis Pasteur est un pionnier de la microbiologie.;fr;History, geography and culture
Quelle scientifique d'origine polonaise naturalisée française a obtenu deux prix Nobel ?;Marie Curie;Sophie Germain;Émilie du Châtelet;Lucie Aubrac;option_a;Marie Curie a découvert le radium et le polonium avec son mari Pierre.;fr;History, geography and culture
Quelle est la deuxième plus grande ville de France (en population intra-muros) ?;Lyon;Toulouse;Marseille;Bordeaux;option_c;Marseille située sur la côte méditerranéenne est la 2e ville la plus peuplée.;fr;History, geography and culture
Quelle mer borde le sud de la France ?;La mer Noire;La mer Rouge;La mer Méditerranée;La mer du Nord;option_c;La côte sud de la France (la Côte d'Azur et le Languedoc) donne sur la Méditerranée.;fr;History, geography and culture
Quel océan borde l'ouest de la France ?;L'océan Pacifique;L'océan Indien;L'océan Arctique;L'océan Atlantique;option_d;La façade ouest de la France s'ouvre sur l'océan Atlantique.;fr;History, geography and culture
Quel est le point culminant de la France et d'Europe occidentale ?;Le Piton de la Fournaise;Le Mont Blanc;Le Pic du Midi;Le Puy de Dôme;option_b;Le Mont Blanc culmine à environ 4805 mètres dans les Alpes.;fr;History, geography and culture
Lequel de ces pays N'A PAS de frontière terrestre avec la France ?;L'Allemagne;L'Italie;L'Espagne;Le Royaume-Uni;option_d;Le Royaume-Uni est séparé de la France par la mer (la Manche).;fr;History, geography and culture
Quelle région française est particulièrement célèbre pour ses châteaux de la Renaissance ?;La Bretagne;L'Alsace;Le Val de Loire;La Normandie;option_c;Chambord Chenonceau ou Amboise se trouvent dans la vallée de la Loire.;fr;History, geography and culture
Qu'est-ce que la Francophonie ?;Un traité de paix européen;L'ensemble des personnes et pays utilisant la langue française;Une monnaie ancienne;Un parti politique;option_b;L'Organisation Internationale de la Francophonie (OIF) promeut la langue et la coopération.;fr;History, geography and culture
Dans quel musée parisien peut-on admirer le tableau de La Joconde ?;Le musée d'Orsay;Le Centre Pompidou;Le Louvre;Le musée du Quai Branly;option_c;Le Louvre est le plus grand musée d'art et d'antiquités au monde.;fr;History, geography and culture
Qui sont Auguste et Louis Lumière ?;Des peintres impressionnistes;Les inventeurs du cinéma;Des explorateurs;Des présidents français;option_b;Les frères Lumière ont inventé le cinématographe à la fin du XIXe siècle.;fr;History, geography and culture
Lequel de ces plats est un grand classique de la gastronomie française ?;La paella;La pizza;Le bœuf bourguignon;Le fish and chips;option_c;La gastronomie française est inscrite au patrimoine culturel immatériel de l'UNESCO.;fr;Living in French society
Quel est le rôle du Conseil constitutionnel ?;Nommer les ministres;Vérifier que les lois respectent la Constitution;Gérer le budget de l'État;Arrêter les criminels;option_b;Il s'assure que les lois votées ne contredisent pas les principes de la Constitution.;fr;Institutional and political system
Qui dirige l'action du Gouvernement français ?;Le Président de la République;Le Ministre de l'Intérieur;Le Premier ministre;Le Président du Sénat;option_c;Le Premier ministre est le chef du gouvernement.;fr;Institutional and political system
Comment s'appelle le texte fondamental qui organise les institutions de l'État français ?;Le Code civil;Le Code pénal;La Constitution;Le Traité de Rome;option_c;La Constitution actuelle est celle de la Ve République (1958).;fr;Institutional and political system
Lors d'une cérémonie officielle que porte le maire pour représenter l'État ?;Une couronne;Une écharpe tricolore;Une cape noire;Un brassard blanc;option_b;L'écharpe bleu blanc rouge symbolise son autorité et son rôle de représentant de la République.;fr;Institutional and political system
Quel est le but principal de l'impôt en France ?;Enrichir les élus;Financer les services publics (écoles hôpitaux routes);Payer les dettes des autres pays;Financer les entreprises privées;option_b;L'impôt est un devoir citoyen qui permet la solidarité nationale et l'action de l'État.;fr;Rights and duties
Que signifie le sigle PACS ?;Parti Anticapitaliste et Social;Plan d'Action Civique et Social;Pacte Civil de Solidarité;Permis Automobile de Conduite Sécurisée;option_c;Le PACS est un contrat organisant la vie commune de deux personnes majeures.;fr;Living in French society
Qui a le droit de voter aux élections municipales en France ?;Uniquement les citoyens français;Les citoyens français et européens résidant dans la commune;Tous les résidents du monde;Les personnes de plus de 21 ans uniquement;option_b;Les ressortissants de l'Union européenne vivant en France peuvent voter aux municipales.;fr;Rights and duties
La justice en France est rendue au nom de qui ?;Du Président de la République;De Dieu;Du peuple français;Des juges;option_c;Les décisions de justice sont prononcées Au nom du peuple français.;fr;Institutional and political system
Qu'est-ce que la présomption d'innocence ?;Toute personne accusée est coupable jusqu'à preuve du contraire;Toute personne accusée est présumée innocente jusqu'à ce que sa culpabilité soit établie;Personne ne peut être jugé;Les riches ne vont pas en prison;option_b;C'est un principe fondamental des droits de l'homme garanti par la loi française.;fr;Principles and values of the Republic
Lequel de ces numéros d'urgence permet de joindre le SAMU (urgence médicale) ?;15;17;18;112;option_a;Le 15 est le SAMU le 17 la police et le 18 les pompiers.;fr;Living in French society
Quel est le numéro d'urgence unique européen ?;911;112;118;999;option_b;Le 112 fonctionne dans tous les pays de l'Union européenne.;fr;Living in French society
Quel est le rôle principal d'un syndicat en France ?;Organiser des fêtes;Défendre les droits et intérêts des travailleurs;Remplacer le gouvernement;Gérer les banques;option_b;Le droit syndical et le droit de grève sont garantis par la Constitution.;fr;Rights and duties
Que garantit la liberté de conscience inscrite dans la loi de séparation de 1905 ?;Le droit de croire ou de ne pas croire et de pratiquer la religion de son choix;L'obligation d'avoir une religion;L'interdiction d'aller à l'église;L'obligation de soutenir une religion financièrement;option_a;C'est le principe central de la laïcité française.;fr;Principles and values of the Republic
Que symbolise la Fraternité dans la devise républicaine ?;La compétition;La solidarité et l'entraide entre les citoyens;L'obéissance;La loi du plus fort;option_b;La fraternité s'exprime notamment par le système de sécurité sociale et d'impôts.;fr;Principles and values of the Republic
Comment est composé le drapeau de l'Union européenne ?;Un aigle sur fond rouge;12 étoiles dorées en cercle sur fond bleu;Une croix blanche sur fond rouge;Des bandes verticales bleues et jaunes;option_b;Les étoiles représentent les idéaux d'unité de solidarité et d'harmonie entre les peuples.;fr;Institutional and political system
En quelle année les pièces et billets en euros ont-ils commencé à circuler ?;1992;1999;2002;2010;option_c;L'euro physique a remplacé le franc français le 1er janvier 2002.;fr;Institutional and political system
À quoi sert l'espace Schengen en Europe ?;À utiliser la même monnaie;À garantir la libre circulation des personnes entre les pays membres sans contrôle aux frontières intérieures;À créer une armée commune;À parler la même langue;option_b;Il permet de voyager de travailler et de vivre librement dans l'espace concerné.;fr;Institutional and political system
Quel noble français est parti combattre aux côtés de George Washington lors de la guerre d'indépendance américaine ?;Napoléon;Le Marquis de Lafayette;Robespierre;Danton;option_b;Lafayette est un symbole de l'amitié historique entre la France et les États-Unis.;fr;History, geography and culture
Quelle célèbre bataille de 1805 est souvent considérée comme le chef-d'œuvre tactique de Napoléon Ier ?;Waterloo;Verdun;Austerlitz;Marignan;option_c;Austerlitz est aussi appelée la bataille des Trois Empereurs.;fr;History, geography and culture
Dans quel lieu précis a été signé l'armistice du 11 novembre 1918 ?;À Versailles;Dans un wagon à Rethondes;À la tour Eiffel;Au palais de l'Élysée;option_b;L'armistice marquant la fin des combats de la Grande Guerre a été signé dans la forêt de Compiègne.;fr;History, geography and culture
Quelle coalition politique a instauré les deux premières semaines de congés payés en France en 1936 ?;Le Front National;Le Front Populaire;La France Insoumise;Le Rassemblement pour la République;option_b;Le Front Populaire dirigé par Léon Blum a instauré de grandes avancées sociales.;fr;History, geography and culture
Quels hommes politiques sont considérés comme les pères fondateurs de l'Europe d'après-guerre ?;De Gaulle et Churchill;Robert Schuman et Jean Monnet;Mitterrand et Kohl;Macron et Merkel;option_b;La déclaration Schuman de 1950 a posé les premières pierres de l'Union européenne.;fr;History, geography and culture
Quelle écrivaine et philosophe a publié Le Deuxième Sexe ouvrage majeur du féminisme ?;Simone Weil;Simone de Beauvoir;Colette;Marguerite Duras;option_b;Simone de Beauvoir a écrit On ne naît pas femme on le devient.;fr;History, geography and culture
En France la liberté d'expression donne-t-elle le droit d'insulter ou d'inciter à la haine raciale ?;Oui c'est la liberté totale;Oui mais seulement sur internet;Non ces actes sont des délits punis par la loi;Oui si on est anonyme;option_c;La liberté d'expression a des limites fixées par la loi pour protéger les personnes.;fr;Rights and duties
Où le général de Gaulle a-t-il prononcé l'Appel du 18 juin 1940 ?;À Paris;À la radio de Londres (BBC);À New York;À Alger;option_b;Cet appel fondateur a invité les Français à poursuivre le combat contre l'Allemagne nazie.;fr;History, geography and culture
Quel chant est devenu l'hymne de la Résistance française sous l'Occupation ?;La Marseillaise;Le Chant des partisans;Le Temps des cerises;La Carmagnole;option_b;Il a été créé par Joseph Kessel et Maurice Druon en 1943.;fr;History, geography and culture
Que signifie le sigle TGV dans les transports français ?;Transport Général des Voyageurs;Train à Grande Vitesse;Transit Global Versatile;Traction et Glissement de Voie;option_b;Le réseau TGV est l'un des symboles du savoir-faire industriel français.;fr;Living in French society
Quelle est la plus haute juridiction de l'ordre judiciaire en France ?;Le tribunal correctionnel;La cour d'appel;La Cour de cassation;Le Conseil d'État;option_c;La Cour de cassation vérifie que les lois ont été correctement appliquées par les autres tribunaux.;fr;Institutional and political system
Si le Président de la République décède ou démissionne qui assure l'intérim ?;Le Premier ministre;Le Président de l'Assemblée nationale;Le Président du Sénat;Le Ministre de l'Intérieur;option_c;C'est arrivé en 1969 et 1974 avec Alain Poher (Président du Sénat).;fr;Institutional and political system
Comment la justice est-elle traditionnellement symbolisée en France ?;Par un aigle;Par une femme aux yeux bandés tenant une balance (et souvent un glaive);Par un livre ouvert;Par une colombe;option_b;Ce symbole montre que la justice doit être impartiale et équitable.;fr;Principles and values of the Republic
